City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
150,Chernyshevskiy,63.0128,112.4714,27.25,74,100,7.54,RU,overcast clouds
151,Hwacheon,38.1061,127.7067,60.55,67,100,3.36,KR,overcast clouds
152,Nieuw Amsterdam,5.8833,-55.0833,78.03,89,40,9.22,SR,scattered clouds
153,Tupiza,-21.45,-65.7167,47.08,41,1,6.42,BO,clear sky
154,Egilsstadir,65.2653,-14.3948,53.51,66,75,17.27,IS,broken clouds
155,Ilha Solteira,-20.4328,-51.3425,67.32,81,72,6.76,BR,broken clouds
156,Khanty-Mansiysk,61.0042,69.0019,73.51,23,0,13.42,RU,clear sky
157,Vernon,50.2581,-119.2691,52.41,69,99,2.3,CA,overcast clouds
158,Zheleznogorsk-Ilimskiy,56.5768,104.1217,49.06,50,90,6.85,RU,overcast clouds
159,Abepura,-2.6333,140.5833,83.21,74,20,2.3,ID,few clouds
160,Merizo Village,13.2658,144.6691,82.96,90,97,12.39,GU,overcast clouds
161,Alo,7.4178,6.7371,89.46,51,96,5.93,NG,overcast clouds
162,Vila Franca Do Campo,37.7167,-25.4333,64.81,93,89,13.29,PT,overcast clouds
163,Saint-Philippe,-21.3585,55.7679,81.99,72,22,13.44,RE,few clouds
164,Colares,38.7992,-9.4469,69.46,71,20,25.01,PT,few clouds
165,Rehoboth,-23.3167,17.0833,71.33,34,0,4.52,NA,clear sky
166,Brookings,44.3114,-96.7984,50.11,97,100,5.75,US,mist
167,Yanchep,-31.55,115.6833,68.13,43,100,13.82,AU,light rain
168,Kingston,17.997,-76.7936,79.75,86,20,3.44,JM,few clouds
169,Moreira Sales,-24.0622,-53.0069,65.8,92,100,5.01,BR,overcast clouds
170,Chyorny Yar,48.0624,46.1091,61.97,57,100,17.67,RU,overcast clouds
171,Iskateley,67.6803,53.1512,27.72,78,88,16.98,RU,overcast clouds
172,Mirador,-6.3708,-44.3631,73.76,85,87,4.05,BR,overcast clouds
173,Nar'Yan-Mar,67.6713,53.087,27.75,79,89,16.89,RU,overcast clouds
174,Garoua,9.3,13.4,93.6,43,0,5.75,CM,clear sky
175,Sambava,-14.2667,50.1667,82.09,67,11,12.37,MG,few clouds
176,Midland,31.9974,-102.0779,69.49,60,0,5.75,US,clear sky
177,Palikir - National Government Center,6.9248,158.1611,75.94,94,100,3.44,FM,light intensity shower rain
178,Balakhta,55.38,91.6,69.62,31,41,2.84,RU,scattered clouds
179,Hlohovec,48.4317,17.8031,67.53,58,76,8.57,SK,broken clouds
180,Kinkala,-4.3614,14.7644,86.16,63,64,3.02,CG,broken clouds
181,Kamwenge,0.1866,30.4539,84.34,42,57,4.29,UG,broken clouds
182,Avarua,-21.2078,-159.775,75.25,100,98,3.44,CK,overcast clouds
183,Tralee,52.2704,-9.7026,57.45,77,75,16.11,IE,broken clouds
184,Nogliki,51.8333,143.1667,37.89,80,99,4.34,RU,overcast clouds
185,Kijang,35.2442,129.2139,53.33,87,100,22.01,KR,moderate rain
186,Atyrau,47.1167,51.8833,82.42,11,0,4.47,KZ,clear sky
187,Qingdao,36.0986,120.3719,73.0,28,0,13.42,CN,clear sky
188,Argo,37.6333,22.7333,72.79,40,1,9.6,GR,clear sky
189,Mount Pearl,47.5166,-52.7813,36.14,97,100,10.36,CA,mist
190,Hobyo,5.3505,48.5268,86.88,66,100,21.32,SO,light rain
191,Orthez,43.4884,-0.7724,70.77,77,75,7.61,FR,light rain
